id	path	depth	read length
HG00096-N1-DNA1-WGS1	data/polaris/HG00096.bam	30	150
HG00098-N1-DNA1-WGS1	data/polaris/HG00098.bam	30	150
HG00101-N1-DNA1-WGS1	data/polaris/HG00101.bam	30	150
HG00103-N1-DNA1-WGS1	data/polaris/HG00103.bam	30	150
HG00107-N1-DNA1-WGS1	data/polaris/HG00107.bam	30	150
HG00108-N1-DNA1-WGS1	data/polaris/HG00108.bam	30	150
HG00109-N1-DNA1-WGS1	data/polaris/HG00109.bam	30	150
HG00115-N1-DNA1-WGS1	data/polaris/HG00115.bam	30	150
HG00116-N1-DNA1-WGS1	data/polaris/HG00116.bam	30	150
HG00117-N1-DNA1-WGS1	data/polaris/HG00117.bam	30	150
HG00119-N1-DNA1-WGS1	data/polaris/HG00119.bam	30	150
HG00131-N1-DNA1-WGS1	data/polaris/HG00131.bam	30	150
HG00136-N1-DNA1-WGS1	data/polaris/HG00136.bam	30	150
HG00139-N1-DNA1-WGS1	data/polaris/HG00139.bam	30	150
HG00181-N1-DNA1-WGS1	data/polaris/HG00181.bam	30	150
HG00185-N1-DNA1-WGS1	data/polaris/HG00185.bam	30	150
HG00190-N1-DNA1-WGS1	data/polaris/HG00190.bam	30	150
HG00256-N1-DNA1-WGS1	data/polaris/HG00256.bam	30	150
HG00264-N1-DNA1-WGS1	data/polaris/HG00264.bam	30	150
HG00267-N1-DNA1-WGS1	data/polaris/HG00267.bam	30	150
HG00273-N1-DNA1-WGS1	data/polaris/HG00273.bam	30	150
HG00277-N1-DNA1-WGS1	data/polaris/HG00277.bam	30	150
HG00280-N1-DNA1-WGS1	data/polaris/HG00280.bam	30	150
HG00284-N1-DNA1-WGS1	data/polaris/HG00284.bam	30	150
HG00351-N1-DNA1-WGS1	data/polaris/HG00351.bam	30	150
HG00358-N1-DNA1-WGS1	data/polaris/HG00358.bam	30	150
HG00366-N1-DNA1-WGS1	data/polaris/HG00366.bam	30	150
HG00369-N1-DNA1-WGS1	data/polaris/HG00369.bam	30	150
HG00371-N1-DNA1-WGS1	data/polaris/HG00371.bam	30	150
HG00372-N1-DNA1-WGS1	data/polaris/HG00372.bam	30	150
HG00448-N1-DNA1-WGS1	data/polaris/HG00448.bam	30	150
HG00449-N1-DNA1-WGS1	data/polaris/HG00449.bam	30	150
HG00450-N1-DNA1-WGS1	data/polaris/HG00450.bam	30	150
HG00583-N1-DNA1-WGS1	data/polaris/HG00583.bam	30	150
HG00584-N1-DNA1-WGS1	data/polaris/HG00584.bam	30	150
HG00585-N1-DNA1-WGS1	data/polaris/HG00585.bam	30	150
HG00595-N1-DNA1-WGS1	data/polaris/HG00595.bam	30	150
HG00596-N1-DNA1-WGS1	data/polaris/HG00596.bam	30	150
HG00597-N1-DNA1-WGS1	data/polaris/HG00597.bam	30	150
HG00610-N1-DNA1-WGS1	data/polaris/HG00610.bam	30	150
HG00611-N1-DNA1-WGS1	data/polaris/HG00611.bam	30	150
HG00612-N1-DNA1-WGS1	data/polaris/HG00612.bam	30	150
HG00613-N1-DNA1-WGS1	data/polaris/HG00613.bam	30	150
HG00614-N1-DNA1-WGS1	data/polaris/HG00614.bam	30	150
HG00615-N1-DNA1-WGS1	data/polaris/HG00615.bam	30	150
HG00650-N1-DNA1-WGS1	data/polaris/HG00650.bam	30	150
HG00651-N1-DNA1-WGS1	data/polaris/HG00651.bam	30	150
HG00652-N1-DNA1-WGS1	data/polaris/HG00652.bam	30	150
HG00656-N1-DNA1-WGS1	data/polaris/HG00656.bam	30	150
HG00657-N1-DNA1-WGS1	data/polaris/HG00657.bam	30	150
HG00658-N1-DNA1-WGS1	data/polaris/HG00658.bam	30	150
HG00662-N1-DNA1-WGS1	data/polaris/HG00662.bam	30	150
HG00663-N1-DNA1-WGS1	data/polaris/HG00663.bam	30	150
