SampleID	FamilyID	Sex	Superpopulation	Role
HG03520	NG109	F	AFR	Mother
HG03521	NG109	M	AFR	Father
HG02973	NG23	M	AFR	Father
HG02974	NG23	F	AFR	Mother
HG03099	NG26	F	AFR	Mother
HG03100	NG26	M	AFR	Father
HG03120	NG33	M	AFR	Father
HG03121	NG33	F	AFR	Mother
HG03129	NG36	F	AFR	Mother
HG03130	NG36	M	AFR	Father
HG03168	NG49	F	AFR	Mother
HG03169	NG49	M	AFR	Father
HG03300	NG75	F	AFR	Mother
HG03301	NG75	M	AFR	Father
HG03306	NG77	F	AFR	Mother
HG03307	NG77	M	AFR	Father
HG03039	GB110	M	AFR	Father
HG03040	GB110	F	AFR	Mother
HG03246	GB116	M	AFR	Father
HG03247	GB116	F	AFR	Mother
HG02561	GB18	M	AFR	Father
HG02562	GB18	F	AFR	Mother
HG02620	GB31	M	AFR	Father
HG02621	GB31	F	AFR	Mother
HG02721	GB52	M	AFR	Father
HG02722	GB52	F	AFR	Mother
HG02768	GB57	M	AFR	Father
HG02769	GB57	F	AFR	Mother
HG02771	GB58	M	AFR	Father
HG02772	GB58	F	AFR	Mother
HG02851	GB78	M	AFR	Father
HG02852	GB78	F	AFR	Mother
HG02982	GB97	M	AFR	Father
HG02983	GB97	F	AFR	Mother
HG03069	NA	M	AFR	NA
HG03445	NA	M	AFR	NA
HG03096	SL16	M	AFR	Father
HG03097	SL16	F	AFR	Mother
HG03063	SL5	M	AFR	Father
HG03064	SL5	F	AFR	Mother
HG03451	SL50	M	AFR	Father
HG03452	SL50	F	AFR	Mother
HG03484	SL61	M	AFR	Father
HG03485	SL61	F	AFR	Mother
HG03574	SL71	M	AFR	Father
HG03575	SL71	F	AFR	Mother
HG03577	SL72	M	AFR	Father
HG03578	SL72	F	AFR	Mother
HG03582	SL73	M	AFR	Father
HG03583	SL73	F	AFR	Mother
HG00844	NA	M	EAS	NA
HG00881	NA	M	EAS	NA
HG00982	NA	M	EAS	NA
HG02356	NA	M	EAS	NA
HG02372	NA	M	EAS	NA
HG02373	NA	M	EAS	NA
HG02374	NA	M	EAS	NA
HG02375	NA	M	EAS	NA
HG02381	NA	M	EAS	NA
HG02383	NA	M	EAS	NA
HG02384	NA	M	EAS	NA
HG02385	NA	M	EAS	NA
HG02386	NA	M	EAS	NA
HG02388	NA	M	EAS	NA
HG02391	NA	M	EAS	NA
HG02409	NA	M	EAS	NA
HG00448	SH016	M	EAS	Father
HG00449	SH016	F	EAS	Mother
HG00583	SH054	M	EAS	Father
HG00584	SH054	F	EAS	Mother
HG00595	SH058	M	EAS	Father
HG00596	SH058	F	EAS	Mother
HG00610	SH063	M	EAS	Father
HG00611	SH063	F	EAS	Mother
HG00613	SH064	M	EAS	Father
HG00614	SH064	F	EAS	Mother
HG00650	SH072	M	EAS	Father
HG00651	SH072	F	EAS	Mother
HG00656	SH074	M	EAS	Father
HG00657	SH074	F	EAS	Mother
HG00662	SH076	M	EAS	Father
HG00663	SH076	F	EAS	Mother
HG00683	SH083	M	EAS	Father
HG00684	SH083	F	EAS	Mother
HG02016	VN46	F	EAS	Mother
HG02017	VN46	M	EAS	Father
HG02069	VN64	F	EAS	Mother
HG02070	VN64	M	EAS	Father
HG02072	VN65	F	EAS	Mother
HG02073	VN65	M	EAS	Father
HG02075	VN66	F	EAS	Mother
HG02076	VN66	M	EAS	Father
HG02130	VN79	F	EAS	Mother
HG02131	VN79	M	EAS	Father
HG02512	VN87	M	EAS	Father
HG02513	VN87	F	EAS	Mother
HG02521	VN90	M	EAS	Father
HG02522	VN90	F	EAS	Mother
HG02524	VN91	M	EAS	Father
HG02525	VN91	F	EAS	Mother
HG00181	NA	M	EUR	NA
HG00185	NA	M	EUR	NA
HG00190	NA	M	EUR	NA
HG00267	NA	M	EUR	NA
HG00273	NA	M	EUR	NA
HG00277	NA	M	EUR	NA
HG00280	NA	M	EUR	NA
HG00284	NA	M	EUR	NA
HG00351	NA	M	EUR	NA
HG00358	NA	M	EUR	NA
HG00366	NA	M	EUR	NA
HG00369	NA	M	EUR	NA
HG00371	NA	M	EUR	NA
HG00372	NA	M	EUR	NA
HG00096	NA	M	EUR	NA
HG00098	NA	M	EUR	NA
HG00101	NA	M	EUR	NA
HG00103	NA	M	EUR	NA
HG00107	NA	M	EUR	NA
HG00108	NA	M	EUR	NA
HG00109	NA	M	EUR	NA
HG00115	NA	M	EUR	NA
HG00116	NA	M	EUR	NA
HG00117	NA	M	EUR	NA
HG00119	NA	M	EUR	NA
HG00131	NA	M	EUR	NA
HG00136	NA	M	EUR	NA
HG00139	NA	M	EUR	NA
HG00256	NA	M	EUR	NA
HG00264	NA	M	EUR	NA
HG01628	IBS015	F	EUR	Mother
HG01630	IBS015	M	EUR	Father
HG01625	IBS016	M	EUR	Father
HG01626	IBS016	F	EUR	Mother
HG01623	IBS017	F	EUR	Mother
HG01624	IBS017	M	EUR	Father
HG01619	IBS018	M	EUR	Father
HG01620	IBS018	F	EUR	Mother
HG01682	IBS030	M	EUR	Father
HG01684	IBS030	F	EUR	Mother
HG01685	IBS031	F	EUR	Mother
HG01686	IBS031	M	EUR	Father
HG01707	IBS038	F	EUR	Mother
HG01708	IBS038	M	EUR	Father
HG01756	IBS044	M	EUR	Father
HG01757	IBS044	F	EUR	Mother
HG01761	IBS046	M	EUR	Father
HG01762	IBS046	F	EUR	Mother
HG01770	IBS049	F	EUR	Mother
HG01771	IBS049	M	EUR	Father
HG03522	NG109	F	AFR	Child
HG02975	NG23	M	AFR	Child
HG03101	NG26	M	AFR	Child
HG03122	NG33	M	AFR	Child
HG03131	NG36	M	AFR	Child
HG03170	NG49	M	AFR	Child
HG03302	NG75	M	AFR	Child
HG03308	NG77	M	AFR	Child
HG03041	GB110	F	AFR	Child
HG02563	GB18	M	AFR	Child
HG02622	GB31	F	AFR	Child
HG02723	GB52	F	AFR	Child
HG02770	GB57	F	AFR	Child
HG02773	GB58	M	AFR	Child
HG02853	GB78	M	AFR	Child
HG02984	GB97	M	AFR	Child
HG03098	SL16	M	AFR	Child
HG03065	SL5	M	AFR	Child
HG03453	SL50	F	AFR	Child
HG03486	SL61	F	AFR	Child
HG03576	SL71	F	AFR	Child
HG03579	SL72	M	AFR	Child
HG03584	SL73	F	AFR	Child
HG00450	SH016	F	EAS	Child
HG00585	SH054	F	EAS	Child
HG00597	SH058	F	EAS	Child
HG00612	SH063	F	EAS	Child
HG00615	SH064	F	EAS	Child
HG00652	SH072	F	EAS	Child
HG00658	SH074	M	EAS	Child
HG00664	SH076	M	EAS	Child
HG00685	SH083	M	EAS	Child
HG02015	VN46	M	EAS	Child
HG02068	VN64	F	EAS	Child
HG02071	VN65	M	EAS	Child
HG02074	VN66	M	EAS	Child
HG02129	VN79	M	EAS	Child
HG02514	VN87	M	EAS	Child
HG02523	VN90	F	EAS	Child
HG02526	VN91	F	EAS	Child
HG01629	IBS015	M	EUR	Child
HG01627	IBS016	M	EUR	Child
HG01622	IBS017	F	EUR	Child
HG01621	IBS018	M	EUR	Child
HG01683	IBS030	M	EUR	Child
HG01687	IBS031	F	EUR	Child
HG01706	IBS038	F	EUR	Child
HG01755	IBS044	F	EUR	Child
HG01763	IBS046	F	EUR	Child
HG01772	IBS049	F	EUR	Child
