N	Percentage	TR	Threshold	Filter
29906	1	0.5112017655320003	0	Quality
29855	0.9982946565906508	0.51133813431586	2	Quality
29816	0.9969905704540895	0.5111685001341562	4	Quality
29768	0.9953855413629372	0.5113880677237301	6	Quality
29712	0.9935130074232595	0.5114095315024233	8	Quality
29652	0.9915067210593193	0.5114663429111022	10	Quality
29597	0.9896676252257072	0.5114707571713349	12	Quality
29542	0.9878285293920952	0.5115767382032361	14	Quality
29469	0.9853875476493011	0.5115205809494723	16	Quality
29401	0.9831137564368354	0.5116492636304888	18	Quality
29340	0.9810740319668294	0.5116905248807089	20	Quality
29256	0.9782652310573129	0.5115190046486191	22	Quality
29187	0.9759580017387816	0.5116318909103368	24	Quality
29097	0.972948572192871	0.5117366051482971	26	Quality
28995	0.9695378853741724	0.5116744266252802	28	Quality
28917	0.9669297131010499	0.5117059169346752	30	Quality
28837	0.9642546646157961	0.5119117800048548	32	Quality
28729	0.9606433491607035	0.5123394479445856	34	Quality
28645	0.9578345482511871	0.5123058125327282	36	Quality
28520	0.953654784992978	0.5125175315568022	38	Quality
28380	0.9489734501437839	0.5132135306553911	40	Quality
28242	0.9443589915067211	0.5138800368245875	42	Quality
28094	0.9394101518090016	0.5143091051470065	44	Quality
27961	0.9349628837022671	0.5148242194485175	46	Quality
27798	0.9295124724135625	0.5153248435139218	48	Quality
27668	0.925165518625025	0.515613705363597	50	Quality
27461	0.9182438306694309	0.5162230071738101	52	Quality
27261	0.9115562094562963	0.5166354865925681	54	Quality
27087	0.9057379790008694	0.5171484475947872	56	Quality
26873	0.8985822243028155	0.5178804004018904	58	Quality
26676	0.8919949174078781	0.5187434397960714	60	Quality
26507	0.8863438774827794	0.51944769306221	62	Quality
26313	0.879856884906039	0.5203131531942385	64	Quality
26103	0.8728348826322477	0.5213193885760258	66	Quality
25844	0.8641744131612386	0.5218232471753599	68	Quality
25578	0.8552798769477696	0.522949409648917	70	Quality
25339	0.847288169598074	0.5231856032203323	72	Quality
25086	0.8388283287634588	0.5235589571872757	74	Quality
