Time	RSS	CPU
1	6748	7.7
3	7052	7.7
5	7656	0.0
7	8212	0.0
10	8476	7.7
12	8668	0.0
14	170640	371.4
17	181768	261.5
19	184860	385.7
22	193304	523.1
24	194216	600.0
26	196832	407.1
29	196972	430.8
31	196980	471.4
34	197788	407.1
36	197788	325.0
38	344060	592.9
41	927372	1177
43	1.6g	1169
45	1.9g	1185
47	1.9g	1177
49	1.9g	1200
51	1.9g	1177
53	2.0g	807.7
56	2.0g	884.6
58	2.2g	815.4
60	2.3g	850.0
62	2.5g	692.3
64	2.6g	721.4
67	2.8g	692.3
69	3.1g	630.8
71	3.1g	607.7
73	3.2g	507.7
75	3.2g	392.3
77	3.2g	307.7
79	3.2g	300.0
82	3.2g	292.3
84	3.2g	300.0
86	3.2g	192.9
88	2.9g	200.0
90	2.9g	192.9
92	2.7g	107.7
95	2.7g	23.1
97	799828	1058
99	801776	676.9
101	809344	950.0
104	808908	1062
106	808232	1154
108	810688	130.8
110	807780	1200
112	810120	407.1
115	806240	1040
117	810468	538.5
119	807148	1067
121	819612	923.1
124	819160	1038
126	817992	130.8
128	820412	825.0
130	819220	100.0
133	812456	1085
135	816924	984.6
137	819988	1154
139	819848	1064
142	815904	1185
144	819940	1085
146	818844	1146
148	819048	1169
150	904892	1177
153	904892	1192
155	895856	330.8
157	903624	1107
159	904992	61.5
162	854920	1129
164	905160	1015
166	888352	975.0
168	896536	1200
170	899308	1107
172	896596	1169
175	904708	1157
177	889176	1200
179	906716	830.8
181	898100	0.0
184	905652	1054
186	903788	1192
188	905256	557.1
191	861192	976.9
193	905080	692.3
197	897160	1200
199	904744	915.4
202	904472	1200
204	905832	807.7
206	904820	835.7
209	904168	184.6
211	904828	1200
213	897548	1185
216	905988	207.7
219	905988	569.2
221	905040	1164
223	905100	1131
225	880104	1146
227	904796	1177
229	906112	657.1
232	905032	1008
234	905064	984.6
237	904604	1200
239	904724	184.6
241	906056	1177
243	906320	1131
245	902208	1162
247	899876	861.5
250	893580	1046
252	881980	1171
254	876356	1192
256	882264	984.6
259	875972	1107
261	882032	1100
263	882404	1154
265	876124	1069
267	869792	1200
269	876096	1169
272	865528	1146
274	880700	1185
276	869336	1200
278	882264	1158
280	882744	1169
283	882372	950.0
285	882004	1177
287	882120	1123
289	877192	807.7
291	882132	561.5
294	862744	1057
296	882136	892.3
298	869232	1136
300	881912	730.8
302	869940	1185
305	882256	742.9
307	862784	1158
309	881596	1123
311	876476	1177
313	882968	1169
315	864272	1146
318	882112	1200
320	855248	1192
322	841876	1038
324	823296	1054
326	825440	1093
328	821680	992.3
331	825416	957.1
333	825648	907.7
335	825176	1000
337	823300	1200
339	823212	1038
341	825152	1092
344	823444	1185
346	820876	1114
348	840700	925.0
350	982.5m	1200
352	982.6m	1200
354	983.4m	1131
