Time	RSS	CPU
1	2.9g	1177
3	2.9g	1185
5	2.9g	1177
7	2.9g	1177
10	2.9g	953.8
12	2.9g	1200
14	2.9g	938.5
16	2.9g	1200
18	2.9g	1177
20	2.9g	1200
22	3.0g	1131
25	3.0g	1200
27	2.9g	1177
29	2.9g	1136
31	2.9g	1200
33	2.9g	1200
35	2.9g	1169
37	2.9g	1115
39	2.9g	1200
42	2.9g	1038
44	2.9g	100.0
46	3.0g	1200
48	3.0g	1136
50	3.0g	1200
52	3.0g	1200
54	3.0g	1177
57	3.0g	1200
59	3.0g	1200
61	3.0g	1200
63	3.0g	1136
65	3.0g	1200
67	3.0g	1200
69	3.0g	1200
72	3.0g	1177
74	3.0g	1200
76	3.0g	1200
78	3.0g	1200
80	3.0g	1200
82	3.0g	1129
84	3.0g	1138
86	3.0g	1129
89	3.0g	1177
91	3.0g	1200
93	3.0g	1200
95	3.0g	1200
97	3.0g	1200
99	3.0g	1138
101	3.0g	1146
103	3.0g	1200
106	3.0g	1200
108	3.0g	1185
110	3.0g	1200
112	3.0g	1200
114	3.0g	1185
116	3.0g	1200
118	3.0g	1100
120	3.0g	1200
123	3.0g	1185
125	3.0g	1200
127	3.0g	1200
129	3.0g	1200
131	3.0g	1071
133	3.0g	1200
135	3.0g	1200
138	3.0g	1200
140	3.0g	1200
142	3.0g	1200
144	3.0g	1200
146	3.0g	1200
148	3.0g	1177
150	3.0g	1185
152	3.0g	1138
155	3.0g	1154
157	3.0g	1200
159	3.0g	1138
161	3.0g	1146
163	3.0g	1200
165	3.0g	1200
167	3.0g	1200
169	3.0g	1200
171	3.0g	1200
174	3.0g	1200
176	3.0g	1146
178	3.0g	1169
180	3.0g	1200
182	3.0g	1200
184	3.0g	1171
186	3.0g	1200
188	3.0g	1100
190	3.0g	1200
193	3.0g	1200
195	3.0g	1200
197	3.0g	1200
199	3.0g	1200
201	3.0g	1200
203	3.0g	1177
205	3.0g	1146
207	3.0g	1200
210	3.0g	1200
212	3.0g	1200
214	3.0g	1200
216	3.0g	1200
218	3.0g	1177
220	3.0g	1200
222	3.0g	1200
224	3.0g	1200
227	3.0g	1200
229	3.0g	1177
231	3.0g	1100
233	3.0g	1200
235	3.0g	1100
237	3.0g	1200
239	3.0g	1200
241	3.0g	1200
244	3.0g	1185
246	3.0g	1200
248	3.0g	1200
250	3.0g	1185
252	3.0g	1200
254	3.0g	1146
256	3.0g	1200
258	3.0g	1200
261	3.0g	1138
263	3.0g	1200
265	3.0g	1136
267	3.0g	1200
269	3.0g	1177
271	3.0g	1200
273	3.0g	1200
275	3.0g	1200
278	3.0g	1200
280	3.0g	1200
282	3.0g	1164
284	3.0g	1185
286	3.0g	1200
288	3.0g	1200
290	3.0g	92.3
292	2.9g	1200
295	2.9g	1200
297	2.9g	1177
299	2.9g	1200
301	2.9g	1200
303	2.9g	1200
305	3.0g	1200
307	2.9g	1092
309	3.0g	1200
311	3.0g	1200
314	3.0g	1200
316	3.0g	1200
318	2.9g	992.9
320	3.0g	1177
322	2.9g	1136
324	2.9g	1177
326	2.9g	1200
328	2.9g	1200
331	2.9g	1169
333	2.9g	1200
335	2.9g	1200
337	2.9g	1177
339	2.9g	1138
341	2.9g	1200
343	2.9g	1200
346	3.0g	1162
348	2.9g	169.2
350	3.0g	1200
352	3.0g	1185
354	3.0g	1200
356	3.0g	1177
358	3.0g	1185
360	3.0g	1200
363	3.0g	1177
365	3.0g	1136
367	3.0g	1200
369	3.0g	1200
371	3.0g	1185
373	3.0g	1200
375	3.0g	1200
378	3.0g	1129
380	3.0g	1138
382	3.0g	1200
384	3.0g	1200
386	3.0g	1200
388	3.0g	1054
390	3.0g	1115
393	3.0g	1200
395	3.0g	1177
397	3.0g	1185
399	3.0g	1200
401	3.0g	1177
403	3.0g	1200
405	3.0g	1200
408	3.0g	1136
410	3.0g	1200
412	3.0g	1200
414	3.0g	1185
416	3.0g	1185
418	3.0g	1200
420	3.0g	1200
422	3.0g	1185
425	3.0g	1200
427	3.0g	1177
429	3.0g	1146
431	3.0g	1200
433	3.0g	1177
435	3.0g	1200
437	3.0g	1146
440	3.0g	1200
442	3.0g	1200
444	3.0g	1146
446	3.0g	1200
448	3.0g	1185
450	3.0g	1185
452	3.0g	1164
454	3.0g	1129
457	3.0g	1185
459	3.0g	1200
461	3.0g	1200
463	3.0g	1185
465	3.0g	1200
467	3.0g	392.3
469	3.0g	1185
472	3.0g	1200
474	3.0g	1200
476	3.0g	1185
478	3.0g	1200
480	3.0g	1200
482	3.0g	1093
484	3.0g	1200
486	3.0g	1200
489	3.0g	1200
491	3.0g	1200
493	3.0g	1200
495	3.0g	1092
497	3.0g	1136
