Time	RSS	CPU
1	2.9g	100.0
3	3.0g	1177
6	3.0g	1200
8	3.0g	1171
10	3.0g	1200
12	3.0g	1200
14	3.0g	1200
16	3.0g	1200
18	3.0g	1100
21	3.0g	1185
23	3.0g	1200
25	3.0g	1200
27	3.0g	1177
29	3.0g	1200
31	3.0g	1200
33	3.0g	1200
36	3.0g	1200
38	3.0g	1146
40	3.0g	1200
42	3.0g	1115
44	3.0g	1200
46	3.0g	1177
48	3.0g	1200
50	3.0g	1200
53	3.0g	1200
55	3.0g	1200
57	3.0g	1146
59	3.0g	1200
61	3.0g	1177
63	3.0g	1200
65	3.0g	1146
67	3.0g	1200
69	3.0g	1200
72	3.0g	1200
74	3.0g	1138
76	3.0g	1200
78	3.0g	1200
80	3.0g	1200
82	3.0g	1100
84	3.0g	1129
87	3.0g	1129
89	3.0g	1146
91	3.0g	1200
93	3.0g	1146
95	3.0g	1200
97	3.0g	1200
99	3.0g	1200
101	3.0g	1185
103	3.0g	1200
106	3.0g	1200
108	3.0g	1177
110	3.0g	1200
112	3.0g	1200
114	3.0g	1200
116	3.0g	1200
118	3.0g	1185
121	3.0g	1129
123	3.0g	1200
125	3.0g	1200
127	3.0g	1200
129	3.0g	1200
131	3.0g	1200
133	3.0g	1077
136	3.0g	1200
138	3.0g	1177
140	3.0g	1200
142	3.0g	1200
144	3.0g	1185
146	3.0g	1200
148	3.0g	1200
151	3.0g	1200
153	3.0g	1200
155	3.0g	1200
157	3.0g	1200
159	3.0g	1185
161	3.0g	1164
163	3.0g	1200
165	3.0g	1129
168	3.0g	1200
170	3.0g	1146
172	3.0g	1129
174	3.0g	1200
176	3.0g	1200
178	3.0g	1177
180	3.0g	1162
183	3.0g	1200
185	3.0g	1200
187	3.0g	1138
189	3.0g	1185
191	3.0g	1093
193	3.0g	1200
195	3.0g	1177
198	3.0g	1200
200	3.0g	1200
202	3.0g	1138
204	3.0g	1136
206	3.0g	1185
208	3.0g	1200
210	3.0g	1200
212	3.0g	1200
215	3.0g	1185
217	3.0g	1200
219	3.0g	1200
221	3.0g	1164
223	3.0g	1177
225	3.0g	1200
227	3.0g	1177
230	3.0g	1100
232	3.0g	1177
234	3.0g	1200
236	3.0g	1200
238	3.0g	1129
240	3.0g	1177
242	3.0g	1200
245	3.0g	1200
247	3.0g	1136
249	3.0g	1129
251	3.0g	1185
253	3.0g	1200
255	3.0g	1136
257	3.0g	1185
260	3.0g	1193
262	3.0g	1200
264	3.0g	1185
266	3.0g	1171
268	3.0g	1136
270	3.0g	1200
273	3.0g	1200
275	3.0g	1200
277	3.0g	1200
279	3.0g	1164
281	3.0g	1200
283	3.0g	1200
286	3.0g	1200
288	3.0g	1200
290	3.0g	1146
292	3.0g	1200
294	3.0g	1200
296	3.0g	1185
298	3.0g	1200
301	3.0g	1164
303	3.0g	1200
305	3.0g	1200
307	3.0g	1200
309	3.0g	1146
311	3.0g	1200
313	3.0g	1185
315	3.0g	1200
318	3.0g	1200
320	3.0g	1200
322	3.0g	1054
324	3.0g	1200
326	3.0g	1185
328	3.0g	1200
330	3.0g	1169
332	3.0g	1138
335	3.0g	1129
337	3.0g	1200
339	3.0g	1200
341	3.0g	1200
343	3.0g	1200
345	3.0g	1200
347	3.0g	1136
349	3.0g	1175
352	3.0g	1200
354	3.0g	1200
356	3.0g	1200
358	3.0g	1129
360	3.0g	1175
362	3.0g	1200
364	3.0g	1177
367	3.0g	1200
369	3.0g	1200
371	3.0g	1185
373	3.0g	1200
375	3.0g	1136
377	3.0g	1200
379	3.0g	1200
382	3.0g	1164
384	3.0g	1200
386	3.0g	1177
388	3.0g	1200
390	3.0g	1136
392	3.0g	1177
394	3.0g	1200
397	3.0g	1200
399	3.0g	1200
401	3.0g	1200
403	3.0g	1200
405	3.0g	1192
407	3.0g	1200
409	3.0g	1200
411	3.0g	1185
414	3.0g	1200
416	3.0g	1185
418	3.0g	1200
420	3.0g	1200
422	3.0g	1142
424	3.0g	1177
426	3.0g	1200
428	3.0g	1200
430	3.0g	1200
432	3.0g	1200
435	3.0g	1200
437	3.0g	1146
439	3.0g	1200
441	3.0g	1200
443	3.0g	1177
445	3.0g	1200
447	3.0g	1142
449	3.0g	1200
451	3.0g	1200
454	3.0g	1200
456	3.0g	1200
458	3.0g	1115
460	3.0g	1200
462	3.0g	1200
464	3.0g	1200
466	3.0g	1185
468	3.0g	1185
470	3.0g	1200
472	3.0g	1200
475	3.0g	1200
477	3.0g	1185
479	3.0g	1185
481	3.0g	1146
483	3.0g	1177
485	3.0g	1185
487	3.0g	1177
489	3.0g	1200
491	3.0g	1200
493	3.0g	1200
495	3.0g	1200
498	3.0g	1200
500	3.0g	1154
502	3.0g	1129
504	3.0g	1185
506	3.0g	1200
508	3.0g	1129
510	3.0g	1146
512	3.0g	1146
515	3.0g	1138
517	3.0g	1200
519	3.0g	1177
521	3.0g	1200
523	3.0g	1200
525	3.0g	1200
527	3.0g	1185
529	3.0g	1138
532	3.0g	1200
534	3.0g	1200
536	3.0g	1185
538	3.0g	1177
540	3.0g	1200
542	3.0g	1200
544	3.0g	1146
546	3.0g	1185
548	3.0g	1200
550	3.0g	1200
553	3.0g	1200
555	3.0g	1185
557	3.0g	1136
559	3.0g	1138
561	3.0g	1169
563	3.0g	1200
565	3.0g	1200
567	3.0g	1200
569	3.0g	1200
572	3.0g	1200
574	3.0g	1146
576	3.0g	1200
578	3.0g	1200
580	3.0g	1146
582	3.0g	1129
584	3.0g	1200
587	3.0g	1200
589	3.0g	1200
591	3.0g	1115
593	3.0g	1200
595	3.0g	1177
597	3.0g	1200
599	3.0g	1093
601	3.0g	1185
604	3.0g	1108
606	3.0g	1200
608	3.0g	1200
610	3.0g	1177
612	3.0g	1200
614	3.0g	1200
616	3.0g	1200
618	3.0g	1177
621	3.0g	1129
623	3.0g	1200
625	3.0g	1200
627	3.0g	1177
629	3.0g	1200
631	3.0g	1146
633	3.0g	1200
636	3.0g	1200
638	3.0g	1164
640	3.0g	1200
642	3.0g	1177
644	3.0g	1200
646	3.0g	1136
648	3.0g	1200
650	3.0g	1200
653	3.0g	1200
655	3.0g	1200
657	3.0g	1177
659	3.0g	1177
661	3.0g	1200
663	3.0g	1200
665	3.0g	1200
667	3.0g	1108
670	3.0g	1200
672	3.0g	1185
674	3.0g	1064
676	3.0g	1200
678	3.0g	1200
680	3.0g	1200
682	3.0g	1200
684	3.0g	1200
687	3.0g	1200
689	3.0g	1129
691	3.0g	1177
693	3.0g	1036
695	3.0g	1200
697	3.0g	1200
