Time	RSS	CPU
1	37044	38.5
3	108728	15.4
5	178364	15.4
8	261284	15.4
10	329296	15.4
12	402824	15.4
14	482696	15.4
16	559900	15.4
18	637528	7.7
21	691876	0.0
23	749548	15.4
25	823084	15.4
27	922560	7.7
29	961728	8.3
31	1.0g	7.7
34	1.1g	14.3
36	1.1g	16.7
38	1.2g	15.4
40	1.3g	23.1
42	1.4g	14.3
44	1.5g	69.2
46	1.5g	15.4
49	1.6g	15.4
51	1.6g	23.1
53	1.7g	16.7
55	1.7g	15.4
57	1.9g	38.5
59	1.9g	38.5
62	2.0g	15.4
64	2.0g	21.4
66	2.1g	15.4
68	2.2g	15.4
70	2.2g	15.4
72	2.3g	46.2
75	2.4g	23.1
77	2.5g	23.1
79	2.5g	14.3
81	2.6g	53.8
83	2.7g	15.4
85	2.7g	7.7
88	2.8g	61.5
90	2.9g	23.1
92	3.1g	92.9
94	3.1g	100.0
96	3.0g	92.3
98	2.9g	100.0
100	3.0g	100.0
103	4.1g	100.0
105	5.2g	92.9
107	6.3g	100.0
109	7.4g	100.0
111	8.5g	100.0
113	9.6g	100.0
115	10.9g	100.0
118	12.9g	100.0
120	12.9g	7.1
122	13.0g	7.7
124	13.1g	15.4
126	13.1g	15.4
128	13.2g	15.4
131	13.3g	7.1
133	13.4g	8.3
135	13.4g	7.7
137	13.5g	7.7
139	13.6g	7.7
141	13.7g	7.1
144	13.7g	7.7
146	13.8g	7.7
148	13.9g	7.7
150	14.0g	8.3
152	14.1g	7.7
154	14.1g	8.3
157	14.2g	0.0
159	14.3g	7.7
161	14.4g	7.1
163	14.4g	8.3
165	14.5g	7.7
167	14.6g	0.0
169	14.7g	7.7
172	14.7g	8.3
174	14.8g	7.7
176	14.9g	7.1
178	15.0g	15.4
180	15.1g	7.7
182	15.1g	7.7
185	15.2g	8.3
187	15.3g	7.7
189	15.4g	7.7
191	15.4g	7.7
193	15.5g	0.0
195	15.6g	7.7
198	15.7g	7.7
200	15.7g	7.7
202	15.8g	0.0
204	15.9g	7.7
206	16.0g	8.3
208	16.1g	7.7
210	16.1g	7.7
213	16.2g	15.4
215	16.3g	7.7
217	16.4g	0.0
219	16.4g	7.7
221	16.5g	8.3
223	16.6g	8.3
225	16.7g	9.1
228	16.7g	7.7
230	16.8g	8.3
232	16.9g	7.7
234	17.0g	7.1
236	17.0g	7.7
238	17.1g	0.0
241	17.2g	7.7
243	17.3g	7.7
245	17.3g	7.7
247	17.4g	7.7
249	17.5g	0.0
251	17.6g	7.7
254	17.6g	7.7
256	17.7g	7.7
258	17.8g	7.7
260	17.9g	7.7
262	17.9g	7.7
264	18.0g	7.7
267	18.1g	8.3
269	18.2g	7.7
271	18.3g	7.1
273	18.3g	7.7
275	18.4g	15.4
277	18.5g	7.1
279	18.6g	7.7
282	18.6g	7.7
284	18.7g	7.7
286	18.8g	7.7
288	18.9g	7.7
290	18.9g	7.7
292	19.0g	7.7
295	19.1g	16.7
297	19.2g	7.7
299	19.2g	7.7
301	19.3g	7.7
303	19.4g	7.7
305	19.5g	7.7
307	19.5g	7.7
310	19.6g	14.3
312	19.7g	15.4
314	19.8g	7.7
316	19.9g	7.7
318	19.9g	7.7
320	20.0g	7.7
323	20.1g	7.7
325	20.2g	8.3
327	20.2g	15.4
329	20.3g	7.1
331	20.4g	7.7
333	20.5g	7.7
335	20.5g	7.7
338	20.6g	7.7
340	20.7g	7.7
342	20.8g	7.7
