Time	RSS	CPU
1	213988	169.2
4	263620	150.0
6	300604	137.5
8	347408	191.7
11	384720	85.7
13	428832	121.4
15	469748	192.3
18	688800	1000
20	1.2g	971.4
22	1.7g	971.4
24	1.7g	942.9
26	1.7g	1000
28	1.7g	984.6
31	1.7g	928.6
33	1.8g	1000
35	1.9g	1000
37	1.9g	892.9
39	2.1g	1000
41	2.2g	978.6
44	2.3g	984.6
46	2.7g	946.2
48	2.8g	707.7
50	2.9g	678.6
52	2.9g	715.4
54	2.9g	371.4
57	2.9g	378.6
59	2.9g	307.7
61	2.9g	307.7
63	2.9g	214.3
65	2.7g	215.4
67	2.7g	200.0
70	2.7g	192.9
72	2.7g	200.0
74	2.7g	107.7
76	2.5g	107.7
78	0	100.0
81	916392	764.3
83	1.0g	971.4
85	1.0g	957.1
87	1.0g	321.4
90	1.0g	1000
92	981.5m	578.6
94	1.1g	971.4
96	1.1g	976.9
98	1.1g	971.4
101	1.1g	835.7
103	1.0g	971.4
105	990.3m	914.3
107	997012	1000
109	988.8m	1000
112	987016	107.1
114	996204	938.5
116	1.0g	1000
118	1.0g	692.9
121	992704	915.4
123	986828	914.3
125	1.0g	984.6
127	1.0g	986.7
129	1.0g	1000
131	1.0g	1000
134	1.0g	864.3
136	1.0g	1000
138	1.0g	1000
140	1.0g	935.7
142	1.0g	185.7
