Time	RSS	CPU
1	1.1g	100.0
3	2.4g	607.7
5	3.1g	678.6
8	3.6g	784.6
10	4.2g	758.3
12	4.8g	776.9
14	5.3g	838.5
16	5.3g	769.2
18	5.3g	391.7
20	5.3g	0.0
23	5.3g	750.0
25	5.4g	853.8
27	5.4g	307.7
30	5.4g	0.0
32	5.4g	0.0
34	5.4g	484.6
36	5.7g	1067
39	5.7g	816.7
41	5.7g	725.0
43	5.7g	761.5
45	5.7g	916.7
47	5.7g	892.3
49	5.7g	769.2
51	5.7g	715.4
54	5.7g	715.4
56	5.8g	533.3
58	5.9g	0.0
60	5.9g	7.7
63	5.9g	0.0
65	5.9g	0.0
67	5.9g	0.0
69	5.9g	330.8
72	5.9g	7.7
74	5.9g	0.0
76	5.9g	0.0
78	5.9g	0.0
81	6.0g	0.0
83	6.0g	0.0
85	6.0g	0.0
87	6.0g	0.0
90	6.0g	0.0
92	6.0g	0.0
94	6.0g	0.0
96	6.0g	8.3
99	6.0g	0.0
101	6.0g	0.0
103	6.0g	315.4
105	6.0g	0.0
108	6.0g	7.7
110	6.0g	0.0
112	6.0g	23.1
114	6.0g	0.0
117	6.0g	0.0
119	6.0g	0.0
121	6.0g	0.0
123	6.0g	0.0
125	6.0g	346.2
128	6.0g	383.3
130	6.0g	753.8
132	6.0g	538.5
134	6.0g	353.8
136	6.0g	338.5
138	6.0g	7.7
140	6.0g	691.7
143	6.0g	0.0
145	6.0g	7.7
147	6.0g	430.8
149	6.0g	0.0
151	6.0g	838.5
154	6.0g	7.7
156	6.0g	400.0
158	6.0g	550.0
160	6.0g	453.8
163	6.0g	361.5
165	6.0g	7.7
167	6.0g	0.0
169	6.0g	100.0
172	6.0g	369.2
174	6.0g	0.0
176	6.0g	0.0
178	6.0g	0.0
181	6.0g	825.0
183	6.0g	883.3
185	6.0g	707.7
187	6.2g	915.4
190	6.4g	761.5
192	6.4g	723.1
194	6.7g	753.8
196	7.0g	807.7
199	7.3g	823.1
201	7.8g	715.4
203	8.0g	716.7
205	8.3g	853.8
207	9.0g	861.5
210	9.1g	916.7
212	9.1g	800.0
214	9.1g	707.7
216	9.7g	815.4
219	10.3g	738.5
221	11.0g	941.7
223	11.3g	307.7
226	11.3g	0.0
228	11.3g	0.0
230	11.3g	0.0
232	11.3g	0.0
235	11.3g	0.0
237	11.3g	0.0
239	11.3g	0.0
241	11.3g	0.0
243	11.3g	0.0
246	11.3g	0.0
248	11.3g	0.0
250	11.3g	0.0
252	11.3g	0.0
255	11.3g	876.9
257	11.3g	900.0
259	11.3g	961.5
261	11.3g	784.6
263	11.3g	653.8
266	11.3g	38.5
268	11.3g	8.3
270	11.3g	0.0
272	11.3g	0.0
275	11.3g	0.0
277	11.3g	0.0
279	11.3g	369.2
281	11.3g	0.0
284	11.3g	0.0
286	11.3g	0.0
288	11.3g	0.0
290	11.3g	0.0
293	11.3g	0.0
295	11.3g	0.0
297	11.3g	0.0
299	11.3g	0.0
302	11.3g	0.0
304	11.3g	7.7
306	11.3g	115.4
308	11.3g	0.0
311	11.3g	0.0
313	11.3g	323.1
315	11.3g	7.7
317	11.3g	7.7
320	11.3g	7.7
322	11.3g	307.7
324	11.3g	0.0
326	11.3g	0.0
328	11.3g	0.0
331	11.3g	7.7
333	11.3g	7.7
335	11.3g	0.0
337	11.3g	161.5
340	11.3g	0.0
342	11.3g	0.0
344	11.3g	7.7
347	11.3g	0.0
349	11.3g	0.0
351	11.3g	269.2
353	11.3g	346.2
355	11.3g	523.1
357	11.3g	0.0
360	11.3g	661.5
362	11.3g	584.6
364	11.3g	0.0
366	11.3g	375.0
368	11.3g	266.7
371	11.3g	615.4
373	11.3g	600.0
375	11.3g	0.0
377	11.3g	446.2
379	11.3g	7.7
382	11.3g	0.0
384	11.3g	0.0
386	11.3g	0.0
388	11.3g	0.0
390	11.3g	0.0
393	11.3g	330.8
395	11.3g	0.0
397	11.3g	0.0
399	11.3g	0.0
401	11.3g	261.5
404	11.3g	233.3
406	11.3g	0.0
408	11.3g	707.7
410	11.3g	7.7
412	11.3g	576.9
415	11.3g	315.4
417	11.3g	130.8
419	11.3g	591.7
421	11.3g	23.1
423	11.3g	684.6
426	11.3g	7.7
428	11.3g	438.5
430	11.3g	0.0
432	11.3g	16.7
434	11.3g	207.7
437	11.3g	307.7
439	11.3g	476.9
441	11.3g	0.0
443	11.3g	461.5
445	11.3g	0.0
448	11.3g	7.7
450	11.3g	625.0
452	11.3g	0.0
454	11.3g	808.3
456	11.3g	0.0
459	11.3g	0.0
461	11.3g	0.0
463	11.3g	375.0
465	11.3g	23.1
467	11.3g	0.0
470	11.3g	516.7
472	11.3g	338.5
474	11.3g	475.0
476	11.3g	0.0
478	11.3g	450.0
481	11.3g	0.0
483	11.3g	7.7
485	11.3g	376.9
487	11.3g	0.0
489	11.3g	469.2
492	11.3g	566.7
494	11.3g	376.9
496	11.3g	0.0
498	11.3g	0.0
500	11.3g	569.2
503	11.3g	0.0
505	11.3g	661.5
507	11.3g	0.0
509	11.3g	0.0
511	11.3g	446.2
514	11.3g	353.8
516	11.3g	0.0
518	11.3g	0.0
520	11.3g	669.2
523	11.3g	7.7
525	11.3g	0.0
527	11.3g	0.0
529	11.3g	8.3
532	11.3g	0.0
534	11.3g	7.7
536	11.3g	0.0
538	11.3g	200.0
541	11.3g	330.8
543	11.3g	292.3
545	11.3g	0.0
547	11.3g	453.8
549	11.3g	7.7
552	11.3g	525.0
554	11.3g	146.2
556	11.3g	330.8
558	11.3g	630.8
560	11.3g	7.7
562	11.3g	669.2
565	11.3g	7.7
567	11.3g	61.5
569	11.3g	0.0
571	11.3g	7.7
574	11.3g	638.5
576	11.3g	0.0
578	11.3g	400.0
580	11.3g	315.4
582	11.3g	0.0
585	11.3g	514.3
587	11.3g	0.0
589	11.3g	383.3
591	11.3g	0.0
594	11.3g	384.6
596	11.3g	0.0
598	11.3g	866.7
600	11.3g	615.4
602	11.3g	0.0
605	11.3g	330.8
607	11.3g	0.0
609	11.3g	366.7
611	11.3g	0.0
614	11.3g	546.2
616	11.3g	500.0
618	11.3g	7.7
620	11.3g	676.9
622	11.3g	7.7
625	11.3g	453.8
627	11.3g	7.7
629	11.3g	607.7
631	11.3g	492.3
633	11.3g	7.7
636	11.3g	50.0
638	11.3g	0.0
640	11.3g	546.2
642	11.3g	0.0
644	11.3g	383.3
647	11.3g	638.5
649	11.3g	7.7
651	11.3g	450.0
653	11.3g	0.0
656	11.3g	353.8
658	11.3g	7.7
660	11.3g	350.0
662	11.3g	350.0
664	11.3g	0.0
667	11.3g	630.8
669	11.3g	338.5
671	11.3g	46.2
673	11.3g	7.7
676	11.3g	361.5
678	11.3g	200.0
680	11.3g	0.0
682	11.3g	415.4
684	11.3g	0.0
687	11.3g	376.9
689	11.3g	0.0
691	11.3g	353.8
693	11.3g	130.8
695	11.3g	330.8
697	11.3g	346.2
700	11.3g	16.7
702	11.3g	446.2
704	11.3g	0.0
706	11.3g	0.0
708	11.3g	161.5
711	11.3g	0.0
713	11.3g	642.9
715	11.3g	7.7
717	11.3g	376.9
720	11.3g	0.0
722	11.3g	7.7
724	11.3g	0.0
726	11.3g	384.6
728	11.3g	592.3
731	11.3g	0.0
733	11.3g	346.2
735	11.3g	7.7
737	11.3g	376.9
740	11.3g	0.0
742	11.3g	875.0
744	11.3g	953.8
746	11.3g	1031
748	11.3g	661.5
751	11.3g	900.0
753	11.3g	876.9
755	11.3g	838.5
757	11.3g	746.2
759	11.3g	853.8
762	11.3g	700.0
764	11.3g	692.3
766	8.7g	7.7
768	8.7g	0.0
771	8.7g	0.0
773	8.7g	0.0
775	8.7g	0.0
778	8.7g	92.9
780	8.7g	0.0
782	8.7g	0.0
784	8.7g	0.0
786	8.7g	0.0
789	8.7g	0.0
791	8.7g	38.5
793	8.7g	0.0
795	8.7g	0.0
798	8.7g	0.0
800	8.7g	0.0
802	8.7g	76.9
805	8.7g	0.0
807	8.7g	93.3
809	8.7g	100.0
811	8.1g	1046
813	14.5g	1008
816	14.5g	892.9
818	14.5g	0.0
820	14.5g	0.0
822	14.5g	1015
824	14.5g	92.9
827	14.5g	957.1
829	14.5g	100.0
831	14.5g	1036
833	14.5g	953.8
836	14.5g	969.2
838	14.5g	0.0
840	14.5g	0.0
842	14.5g	1008
845	14.5g	107.7
847	14.5g	1031
849	14.5g	46.2
851	14.5g	908.3
854	14.5g	1033
856	14.5g	7.7
858	14.5g	1015
860	14.5g	200.0
863	14.5g	1058
865	14.5g	100.0
867	14.5g	0.0
869	14.5g	1015
872	14.5g	953.8
874	14.5g	661.5
876	14.5g	1000
878	14.5g	100.0
881	14.5g	0.0
883	14.5g	0.0
885	14.5g	953.8
887	14.5g	933.3
890	14.5g	0.0
892	14.5g	330.8
894	14.5g	246.2
897	14.5g	0.0
899	14.5g	0.0
901	14.5g	46.2
903	14.5g	1023
906	14.5g	0.0
908	14.5g	707.7
910	14.5g	828.6
912	14.5g	0.0
915	14.5g	1046
917	14.5g	1067
919	14.5g	7.7
922	14.5g	0.0
924	14.5g	1023
926	14.5g	984.6
928	14.5g	7.7
931	14.5g	7.7
933	14.5g	0.0
935	14.5g	1000
937	14.5g	984.6
940	14.5g	1000
942	14.5g	7.7
944	14.5g	1000
946	14.5g	100.0
949	14.5g	0.0
951	14.5g	0.0
953	14.5g	7.7
955	14.5g	914.3
958	14.5g	0.0
960	14.5g	0.0
962	14.5g	0.0
965	14.5g	992.3
967	14.5g	100.0
969	14.5g	7.7
971	14.5g	0.0
974	14.5g	0.0
976	14.5g	984.6
978	14.5g	100.0
980	14.5g	0.0
983	14.5g	0.0
985	14.5g	0.0
987	14.5g	0.0
989	14.5g	1058
992	14.5g	1075
994	14.5g	0.0
996	14.5g	7.7
998	14.5g	0.0
1001	14.5g	969.2
1004	14.5g	7.7
1006	14.5g	0.0
1009	14.5g	0.0
1011	14.5g	7.7
1013	14.5g	0.0
1015	14.5g	1067
1018	14.5g	7.7
1020	14.5g	0.0
1022	14.5g	0.0
1024	14.5g	0.0
1027	14.5g	0.0
1029	14.5g	1008
1031	14.5g	100.0
1033	14.5g	0.0
1036	14.5g	15.4
1038	14.5g	0.0
1040	14.5g	0.0
1042	14.5g	1083
1045	14.5g	1000
1047	14.5g	0.0
1049	14.5g	7.7
1052	14.5g	0.0
1054	14.5g	0.0
1056	14.5g	946.2
1058	14.5g	7.7
1061	14.5g	7.7
1063	14.5g	7.7
1065	14.5g	0.0
1067	14.5g	976.9
1069	14.5g	0.0
1072	14.5g	0.0
1074	14.5g	7.7
1076	14.5g	8.3
1078	14.5g	1017
1081	14.5g	0.0
1083	14.5g	0.0
1085	14.5g	953.8
