Time	RSS	CPU
1	68976	92.3
3	68976	100.0
6	68976	100.0
8	68976	100.0
10	68976	100.0
12	68976	100.0
14	978.0m	92.9
16	2.6g	100.0
18	4.3g	92.3
21	5.9g	100.0
23	7.6g	100.0
25	9.2g	92.3
27	10.9g	100.0
29	12.5g	92.3
31	14.2g	100.0
33	15.8g	92.9
35	17.4g	100.0
38	18.0g	533.3
40	18.0g	607.7
42	18.0g	430.8
44	18.0g	569.2
46	18.0g	541.7
48	18.0g	515.4
50	18.0g	700.0
52	18.0g	541.7
55	18.0g	475.0
57	18.0g	523.1
59	18.0g	623.1
61	18.0g	407.1
63	18.0g	669.2
65	18.0g	500.0
67	18.0g	523.1
70	18.0g	421.4
72	18.0g	538.5
74	18.0g	550.0
76	18.0g	600.0
78	18.0g	592.3
80	18.0g	484.6
82	18.0g	576.9
84	18.0g	423.1
87	18.0g	376.9
89	18.0g	515.4
91	18.0g	561.5
93	18.0g	492.3
95	18.0g	607.7
97	18.0g	476.9
99	18.0g	561.5
102	18.0g	446.2
104	18.0g	700.0
106	18.0g	469.2
108	18.0g	484.6
110	18.0g	583.3
112	18.0g	530.8
114	18.0g	591.7
116	18.0g	523.1
119	18.0g	576.9
121	18.0g	530.8
123	18.0g	553.8
125	18.0g	469.2
127	18.0g	654.5
129	18.0g	507.7
131	18.0g	533.3
133	18.0g	553.8
135	18.0g	484.6
137	18.0g	683.3
140	18.0g	492.3
142	18.0g	616.7
144	18.0g	500.0
146	18.0g	538.5
148	18.0g	561.5
150	18.0g	507.7
152	18.0g	450.0
154	18.0g	484.6
157	18.0g	515.4
159	18.0g	533.3
161	18.0g	500.0
163	18.0g	535.7
165	18.0g	592.3
167	18.0g	592.3
169	18.0g	492.3
171	18.0g	584.6
173	18.0g	516.7
175	18.0g	566.7
178	18.0g	507.7
180	18.0g	533.3
182	18.0g	592.3
184	18.0g	507.7
186	18.0g	576.9
188	18.0g	525.0
190	18.0g	538.5
192	18.0g	516.7
195	18.0g	566.7
197	18.0g	546.2
199	18.0g	507.7
201	18.0g	658.3
203	18.0g	584.6
205	18.0g	508.3
207	18.0g	615.4
209	18.0g	492.3
211	18.0g	569.2
214	18.0g	492.3
216	18.0g	423.1
218	18.0g	492.3
220	18.0g	592.3
222	18.0g	508.3
224	18.0g	569.2
226	18.0g	492.3
228	18.0g	566.7
230	18.0g	523.1
233	18.0g	615.4
235	18.0g	508.3
237	18.0g	553.8
239	18.0g	658.3
241	18.0g	591.7
243	18.0g	584.6
245	18.0g	541.7
247	18.0g	576.9
249	18.0g	484.6
251	18.0g	553.8
254	18.0g	530.8
256	18.0g	507.7
258	18.0g	546.2
260	18.0g	600.0
262	18.0g	569.2
264	18.0g	508.3
266	18.0g	500.0
268	18.0g	530.8
270	18.0g	533.3
273	18.0g	523.1
275	18.0g	500.0
277	18.0g	525.0
279	18.0g	553.8
281	18.0g	507.7
283	18.0g	508.3
285	18.0g	633.3
287	18.0g	500.0
289	18.0g	650.0
291	18.0g	607.7
294	18.0g	615.4
296	18.0g	484.6
298	18.0g	707.7
300	18.0g	483.3
302	18.0g	523.1
304	18.0g	515.4
306	18.0g	523.1
308	18.0g	553.8
310	18.0g	550.0
313	18.0g	576.9
315	18.0g	538.5
317	18.0g	516.7
319	18.0g	576.9
321	18.0g	476.9
323	18.0g	530.8
325	18.0g	541.7
327	18.0g	538.5
329	18.0g	523.1
331	18.0g	600.0
334	18.0g	576.9
336	18.0g	500.0
338	18.0g	646.2
340	18.0g	525.0
342	18.0g	569.2
344	18.0g	507.7
346	18.0g	663.6
348	18.0g	476.9
350	18.0g	583.3
352	18.0g	650.0
355	18.0g	633.3
357	18.0g	530.8
359	18.0g	525.0
361	18.0g	500.0
363	18.0g	458.3
365	18.0g	576.9
