Algorithm	N	Threshold	TR	Filter	Percentage
BayesTyper	210	0	0.47619047619047616	Quality	1
GGTyper	380	0	0.5105263157894737	Quality	1
Paragraph(Graph)	386	0	0.4896373056994819	Quality	1
Paragraph(VCF)	386	0	0.5	Quality	1
BayesTyper	210	2	0.47619047619047616	Quality	1
GGTyper	380	2	0.5105263157894737	Quality	1
Paragraph(Graph)	385	2	0.4883116883116883	Quality	0.9974093264248705
Paragraph(VCF)	385	2	0.5012987012987012	Quality	0.9974093264248705
BayesTyper	191	4	0.5026178010471204	Quality	0.9095238095238095
GGTyper	378	4	0.5079365079365079	Quality	0.9947368421052631
Paragraph(Graph)	384	4	0.4869791666666667	Quality	0.9948186528497409
Paragraph(VCF)	381	4	0.5013123359580053	Quality	0.9870466321243523
BayesTyper	179	6	0.5195530726256983	Quality	0.8523809523809524
GGTyper	377	6	0.506631299734748	Quality	0.9921052631578947
Paragraph(Graph)	383	6	0.48825065274151436	Quality	0.9922279792746114
Paragraph(VCF)	376	6	0.5	Quality	0.9740932642487047
BayesTyper	176	8	0.5227272727272727	Quality	0.8380952380952381
GGTyper	376	8	0.5079787234042553	Quality	0.9894736842105263
Paragraph(Graph)	381	8	0.49081364829396323	Quality	0.9870466321243523
Paragraph(VCF)	370	8	0.4945945945945946	Quality	0.9585492227979274
BayesTyper	171	10	0.5087719298245614	Quality	0.8142857142857143
GGTyper	376	10	0.5079787234042553	Quality	0.9894736842105263
Paragraph(Graph)	377	10	0.493368700265252	Quality	0.9766839378238342
Paragraph(VCF)	369	10	0.4932249322493225	Quality	0.9559585492227979
BayesTyper	169	12	0.5088757396449705	Quality	0.8047619047619048
GGTyper	376	12	0.5079787234042553	Quality	0.9894736842105263
Paragraph(Graph)	377	12	0.493368700265252	Quality	0.9766839378238342
Paragraph(VCF)	358	12	0.4888268156424581	Quality	0.927461139896373
BayesTyper	159	14	0.5031446540880503	Quality	0.7571428571428571
GGTyper	375	14	0.5066666666666667	Quality	0.9868421052631579
Paragraph(Graph)	375	14	0.496	Quality	0.9715025906735751
Paragraph(VCF)	339	14	0.4778761061946903	Quality	0.8782383419689119
BayesTyper	158	16	0.5	Quality	0.7523809523809524
GGTyper	375	16	0.5066666666666667	Quality	0.9868421052631579
Paragraph(Graph)	374	16	0.4946524064171123	Quality	0.9689119170984456
Paragraph(VCF)	326	16	0.4723926380368098	Quality	0.844559585492228
BayesTyper	157	18	0.4968152866242038	Quality	0.7476190476190476
GGTyper	373	18	0.5067024128686327	Quality	0.9815789473684211
Paragraph(Graph)	371	18	0.49326145552560646	Quality	0.961139896373057
Paragraph(VCF)	321	18	0.4672897196261682	Quality	0.8316062176165803
BayesTyper	157	20	0.4968152866242038	Quality	0.7476190476190476
GGTyper	373	20	0.5067024128686327	Quality	0.9815789473684211
Paragraph(Graph)	371	20	0.49326145552560646	Quality	0.961139896373057
Paragraph(VCF)	306	20	0.46405228758169936	Quality	0.7927461139896373
BayesTyper	156	22	0.4935897435897436	Quality	0.7428571428571429
GGTyper	373	22	0.5067024128686327	Quality	0.9815789473684211
Paragraph(Graph)	370	22	0.4918918918918919	Quality	0.9585492227979274
Paragraph(VCF)	294	22	0.45918367346938777	Quality	0.7616580310880829
BayesTyper	156	24	0.4935897435897436	Quality	0.7428571428571429
GGTyper	372	24	0.5053763440860215	Quality	0.9789473684210527
Paragraph(Graph)	369	24	0.4905149051490515	Quality	0.9559585492227979
Paragraph(VCF)	281	24	0.45195729537366547	Quality	0.727979274611399
BayesTyper	156	26	0.4935897435897436	Quality	0.7428571428571429
GGTyper	372	26	0.5053763440860215	Quality	0.9789473684210527
Paragraph(Graph)	368	26	0.4891304347826087	Quality	0.9533678756476683
Paragraph(VCF)	265	26	0.44528301886792454	Quality	0.6865284974093264
BayesTyper	156	28	0.4935897435897436	Quality	0.7428571428571429
GGTyper	372	28	0.5053763440860215	Quality	0.9789473684210527
Paragraph(Graph)	367	28	0.4904632152588556	Quality	0.9507772020725389
Paragraph(VCF)	256	28	0.4375	Quality	0.6632124352331606
BayesTyper	156	30	0.4935897435897436	Quality	0.7428571428571429
GGTyper	371	30	0.5067385444743935	Quality	0.9763157894736842
Paragraph(Graph)	363	30	0.48760330578512395	Quality	0.9404145077720207
Paragraph(VCF)	249	30	0.43775100401606426	Quality	0.6450777202072538
BayesTyper	156	32	0.4935897435897436	Quality	0.7428571428571429
GGTyper	371	32	0.5067385444743935	Quality	0.9763157894736842
Paragraph(Graph)	362	32	0.4889502762430939	Quality	0.9378238341968912
Paragraph(VCF)	233	32	0.4334763948497854	Quality	0.6036269430051814
BayesTyper	154	34	0.487012987012987	Quality	0.7333333333333333
GGTyper	371	34	0.5067385444743935	Quality	0.9763157894736842
Paragraph(Graph)	362	34	0.4889502762430939	Quality	0.9378238341968912
Paragraph(VCF)	218	34	0.44036697247706424	Quality	0.56476683937823835
BayesTyper	154	36	0.487012987012987	Quality	0.7333333333333333
GGTyper	370	36	0.5054054054054054	Quality	0.9736842105263158
Paragraph(Graph)	361	36	0.48753462603878117	Quality	0.93523316062176165
Paragraph(VCF)	205	36	0.44390243902439025	Quality	0.5310880829015544
BayesTyper	153	38	0.48366013071895425	Quality	0.7285714285714285
GGTyper	370	38	0.5054054054054054	Quality	0.9736842105263158
Paragraph(Graph)	360	38	0.4888888888888889	Quality	0.9326424870466321
Paragraph(VCF)	186	38	0.44623655913978494	Quality	0.48186528497409326
BayesTyper	153	40	0.48366013071895425	Quality	0.7285714285714285
GGTyper	369	40	0.5067750677506775	Quality	0.9710526315789474
Paragraph(Graph)	359	40	0.48746518105849584	Quality	0.9300518134715026
Paragraph(VCF)	170	40	0.4411764705882353	Quality	0.44041450777202074
BayesTyper	153	42	0.48366013071895425	Quality	0.7285714285714285
GGTyper	369	42	0.5067750677506775	Quality	0.9710526315789474
Paragraph(Graph)	357	42	0.48739495798319327	Quality	0.9248704663212435
Paragraph(VCF)	158	42	0.43037974683544306	Quality	0.40932642487046633
BayesTyper	153	44	0.48366013071895425	Quality	0.7285714285714285
GGTyper	368	44	0.5081521739130435	Quality	0.968421052631579
Paragraph(Graph)	353	44	0.48158640226628896	Quality	0.9145077720207254
Paragraph(VCF)	143	44	0.43356643356643354	Quality	0.3704663212435233
BayesTyper	153	46	0.48366013071895425	Quality	0.7285714285714285
GGTyper	367	46	0.5068119891008175	Quality	0.9657894736842105
Paragraph(Graph)	349	46	0.4785100286532951	Quality	0.9041450777202072
Paragraph(VCF)	134	46	0.43283582089552236	Quality	0.3471502590673575
BayesTyper	153	48	0.48366013071895425	Quality	0.7285714285714285
GGTyper	367	48	0.5068119891008175	Quality	0.9657894736842105
Paragraph(Graph)	343	48	0.47230320699708456	Quality	0.8886010362694301
Paragraph(VCF)	124	48	0.41935483870967744	Quality	0.32124352331606215
BayesTyper	153	50	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	50	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	340	50	0.47058823529411764	Quality	0.8808290155440415
Paragraph(VCF)	112	50	0.4107142857142857	Quality	0.29015544041450775
BayesTyper	153	52	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	52	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	335	52	0.46865671641791046	Quality	0.8678756476683938
Paragraph(VCF)	101	52	0.4158415841584158	Quality	0.2616580310880829
BayesTyper	153	54	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	54	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	332	54	0.46686746987951805	Quality	0.8601036269430051
Paragraph(VCF)	94	54	0.3829787234042553	Quality	0.24352331606217617
BayesTyper	153	56	0.48366013071895425	Quality	0.7285714285714285
GGTyper	364	56	0.5054945054945055	Quality	0.9578947368421052
Paragraph(Graph)	330	56	0.4666666666666667	Quality	0.8549222797927462
Paragraph(VCF)	81	56	0.38271604938271603	Quality	0.20984455958549222
BayesTyper	153	58	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	58	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	328	58	0.46646341463414637	Quality	0.8497409326424871
Paragraph(VCF)	75	58	0.38666666666666666	Quality	0.19430051813471502
BayesTyper	153	60	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	60	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	326	60	0.46932515337423314	Quality	0.844559585492228
Paragraph(VCF)	68	60	0.38235294117647056	Quality	0.17616580310880828
BayesTyper	153	62	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	62	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	320	62	0.46875	Quality	0.8290155440414507
Paragraph(VCF)	58	62	0.3620689655172414	Quality	0.15025906735751296
BayesTyper	153	64	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	64	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	315	64	0.4666666666666667	Quality	0.8160621761658031
Paragraph(VCF)	45	64	0.3111111111111111	Quality	0.11658031088082901
BayesTyper	153	66	0.48366013071895425	Quality	0.7285714285714285
GGTyper	361	66	0.5096952908587258	Quality	0.95
Paragraph(Graph)	312	66	0.46474358974358976	Quality	0.8082901554404145
Paragraph(VCF)	41	66	0.2682926829268293	Quality	0.10621761658031088
BayesTyper	153	68	0.48366013071895425	Quality	0.7285714285714285
GGTyper	361	68	0.5096952908587258	Quality	0.95
Paragraph(Graph)	308	68	0.4642857142857143	Quality	0.7979274611398963
Paragraph(VCF)	32	68	0.21875	Quality	0.08290155440414508
BayesTyper	153	70	0.48366013071895425	Quality	0.7285714285714285
GGTyper	360	70	0.5111111111111111	Quality	0.9473684210526315
Paragraph(Graph)	303	70	0.45874587458745875	Quality	0.7849740932642487
Paragraph(VCF)	28	70	0.21428571428571427	Quality	0.07253886010362694
