Algorithm	Variant	Observed_Undetermined	Observed_.	Chi	Type	Genotype	Count
BayesTyper	NA_variant_1	0	0	150	Observed	G0	114
BayesTyper	NA_variant_1	0	0	150	Observed	G1	0
BayesTyper	NA_variant_1	0	0	150	Observed	G2	36
BayesTyper	NA_variant_1	0	0	150	Expected	G0	86.64
BayesTyper	NA_variant_1	0	0	150	Expected	G1	54.72
BayesTyper	NA_variant_1	0	0	150	Expected	G2	8.64
BayesTyper	NA_variant_2	0	0	NA	Observed	G0	150
BayesTyper	NA_variant_2	0	0	NA	Observed	G1	0
BayesTyper	NA_variant_2	0	0	NA	Observed	G2	0
BayesTyper	NA_variant_2	0	0	NA	Expected	G0	150
BayesTyper	NA_variant_2	0	0	NA	Expected	G1	0
BayesTyper	NA_variant_2	0	0	NA	Expected	G2	0
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G0	60
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G1	70
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Observed	G2	20
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G0	60.166666666666664
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G1	69.66666666666666
BayesTyper	NA_variant_3	0	0	0.003433987317140214	Expected	G2	20.166666666666664
BayesTyper	NA_variant_4	0	0	NA	Observed	G0	150
BayesTyper	NA_variant_4	0	0	NA	Observed	G1	0
BayesTyper	NA_variant_4	0	0	NA	Observed	G2	0
BayesTyper	NA_variant_4	0	0	NA	Expected	G0	150
BayesTyper	NA_variant_4	0	0	NA	Expected	G1	0
BayesTyper	NA_variant_4	0	0	NA	Expected	G2	0
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Observed	G0	144
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Observed	G1	6
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Observed	G2	0
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Expected	G0	144.06
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Expected	G1	5.88
BayesTyper	NA_variant_5	0	0	0.06247396917950855	Expected	G2	0.060000000000000005
BayesTyper	NA_variant_6	0	0	26.687405943262718	Observed	G0	61
BayesTyper	NA_variant_6	0	0	26.687405943262718	Observed	G1	89
BayesTyper	NA_variant_6	0	0	26.687405943262718	Observed	G2	0
BayesTyper	NA_variant_6	0	0	26.687405943262718	Expected	G0	74.20166666666667
BayesTyper	NA_variant_6	0	0	26.687405943262718	Expected	G1	62.59666666666668
